category,keyword,count
JP-TAMPER,確認,12879
JP-TAMPER,設定,10902
SYSTEM,JetsamEvent,10532
JP-TAMPER,可能性,9508
JP-TAMPER,削除,5569
JP-TAMPER,通信,5468
JP-TAMPER,監視,4807
UI/HOOK,duetexpertd,4337
SYSTEM,triald,3805
SYSTEM,logd,3612
JP-TAMPER,アクセス,3169
VENDORS,Mobifone,2228
SYSTEM,cloudd,2166
APPS/NET,Facebook,1678
VENDORS,VNPT,1435
JP-TAMPER,共有,1406
JP-TAMPER,認証,1398
JP-TAMPER,遮断,1341
SYSTEM,proactive_event_tracker,1218
JP-TAMPER,同期,1207
APPS/NET,Binance,1127
JP-TAMPER,追跡,1118
APPS/NET,Gmail,1057
MDM,BackgroundShortcutRunner,904
APPS/NET,WhatsApp,888
VENDORS,Viettel,861
UI/HOOK,sharingd,792
JP-TAMPER,検証,740
JP-TAMPER,許可,732
SYSTEM,RTCR,606
JP-TAMPER,復元,584
VENDORS,VNG,579
SYSTEM,nsurlsessiond,573
SYSTEM,CloudKitDaemon,553
APPS/NET,YouTube,544
JP-TAMPER,位置情報,532
JP-TAMPER,指令,524
JOURNAL/CALENDAR,suggestd,461
APPS/NET,Instagram,411
SYSTEM,STExtractionService,372
COMM/POWER,backboardd,369
UI/HOOK,Lightning,255
SYSTEM,DroopCount,240
VENDORS,Bkav,183
APPS/NET,TronLink,135
SYSTEM,UNKNOWN PID,135
VENDORS,Vingroup,127
JOURNAL/CALENDAR,Shortcuts,120
JP-TAMPER,退避,117
JP-TAMPER,認可,111
MDM,mobileconfig,106
VENDORS,VinFast,104
APPS/NET,jailbreak,92
COMM/POWER,thermalmonitord,89
JOURNAL/CALENDAR,Suggestions,83
JP-TAMPER,秘密,74
COMM/POWER,SensorKit,54
APPS/NET,Bybit,49
APPS/NET,MyViettel,46
COMM/POWER,accessoryd,30
APPS/NET,HSBC,29
APPS/NET,ZingMP3,25
APPS/NET,OKX,25
SYSTEM,logpower,24
JP-TAMPER,証跡,23
APPS/NET,BIDV,18
JOURNAL/CALENDAR,JournalApp,4
UI/HOOK,linked_device_id,3
APPS/NET,iCloud Analytics,2
UI/HOOK,autoOpenShareSheet,1
UI/HOOK,remoteAIClient,1
SYSTEM,EraseDevice,1
MDM,managedconfigurationd,1
MDM,MCProfile,1
MDM,InstallConfigurationProfile,1
APPS/NET,ABABank,1
